# Results of the simulations. Done for the logarithmic LD law with:
# Period = 1.0, t0 = 0.0, b = 0.0, N = 1000 and n_try = 100
#
# gnum 	 input_p 	 input_a 	 input_teff 	 p_fixed 	 sigma_p_fixed 	 p_float 	 sigma_p_float 	 a_fixed 	 sigma_a_fixed 	 a_float 	 sigma_a_float	 i_fixed 	 sigma_i_fixed 	 i_float 	 sigma_i_float
0	0.01	3.27	3500.0	0.0100005226461	5.40413439931e-10	0.0100013964646	1.08559799082e-08	3.26969939321	1.20734050686e-06	3.27047600241	3.71709788995e-06	90.0	0.0	90.0	0.0
0	0.01	3.27	3750.0	0.0100006005108	9.84961223782e-10	0.0100020731399	1.75637761241e-08	3.26962700612	1.02975770206e-06	3.27067778508	5.31202744202e-06	90.0	0.0	90.0	0.0
0	0.01	3.27	4000.0	0.0100009397385	1.45520431525e-09	0.0100032620413	3.52401462069e-08	3.26949491815	2.79746469502e-06	3.27104285941	1.03048787281e-05	90.0	0.0	90.0	0.0
0	0.01	3.27	4250.0	0.0100015288953	6.91614225556e-10	0.0100027064407	3.60664488728e-08	3.26946196035	6.44829626474e-07	3.27092578623	1.19417292042e-05	90.0	0.0	90.0	0.0
0	0.01	3.27	4500.0	0.0100016058844	1.25351707134e-09	0.0100011003414	1.08577278133e-08	3.26955926973	1.36611434979e-06	3.27047444871	5.05278035459e-06	90.0	0.0	90.0	0.0
0	0.01	3.27	4750.0	0.010001352757	1.18067490864e-09	0.00999991315606	1.67784354057e-09	3.26967997828	8.1282326694e-07	3.27011827393	1.03965722284e-06	90.0	0.0	90.0	0.0
0	0.01	3.27	5000.0	0.0100011772617	8.72806257668e-10	0.00999916635275	2.59849835023e-09	3.26976310123	6.85598382975e-07	3.26989176064	1.64015697264e-06	90.0	0.0	90.0	0.0
0	0.01	3.27	5250.0	0.0100010148398	3.58177174853e-10	0.00999888485526	2.39671662496e-09	3.26981156429	6.28186684246e-07	3.26979613216	7.93515294039e-07	90.0	0.0	90.0	0.0
0	0.01	3.27	5500.0	0.0100008429589	4.13191824955e-10	0.00999900233831	3.47183824649e-09	3.26984385159	4.6602698967e-07	3.26981398771	1.11377703552e-06	90.0	0.0	90.0	0.0
0	0.01	3.27	5750.0	0.0100006505561	2.19035107252e-10	0.00999948307805	1.50732559727e-09	3.26985543305	3.12749786953e-07	3.26993165355	6.18095331418e-07	90.0	0.0	90.0	0.0
0	0.01	3.27	6000.0	0.0100004543625	7.25853347228e-10	0.0100003607903	1.21636696921e-09	3.26983555365	6.96666346455e-07	3.27016028051	5.81807250188e-07	90.0	0.0	90.0	0.0
0	0.01	3.27	6250.0	0.0100003005564	1.03730603487e-09	0.0100011760016	1.20829291185e-08	3.26980896098	1.09123248953e-06	3.27037480381	4.0700133836e-06	90.0	0.0	90.0	0.0
0	0.01	3.27	6500.0	0.010000215975	9.31038211927e-10	0.0100019420578	2.12686162584e-08	3.26976694558	9.22036959307e-07	3.27058058076	6.68790131097e-06	90.0	0.0	90.0	0.0
0	0.01	3.27	6750.0	0.0100001530964	1.00291432745e-09	0.0100024501632	3.11891234212e-08	3.26973959429	8.89124290693e-07	3.27071800536	7.78089397302e-06	90.0	0.0	90.0	0.0
0	0.01	3.27	7000.0	0.0100001207839	6.55712791664e-10	0.0100027848052	3.56158844043e-08	3.26971787061	8.49545683243e-07	3.2708054132	1.11226583098e-05	90.0	0.0	90.0	0.0
0	0.01	3.27	7250.0	0.0100001031062	3.83378348268e-10	0.0100030552008	3.3514452633e-08	3.26969686975	3.86447600468e-07	3.27087897603	1.06278159801e-05	90.0	0.0	90.0	0.0
0	0.01	3.27	7500.0	0.0100000915796	4.31038925153e-10	0.0100031557166	2.93769479675e-08	3.26968865921	7.0121703669e-07	3.27090697009	8.85286992635e-06	90.0	0.0	90.0	0.0
0	0.01	3.27	7750.0	0.0100000809964	4.51323776018e-10	0.0100031729464	3.18343130638e-08	3.26968699596	5.94039175253e-07	3.27091028694	1.03512705204e-05	90.0	0.0	90.0	0.0
0	0.01	3.27	8000.0	0.0100001113534	4.43912586023e-10	0.0100030134123	2.58945669843e-08	3.26969393532	7.14393550141e-07	3.27086845178	8.66466755671e-06	90.0	0.0	90.0	0.0
0	0.01	3.27	8500.0	0.0100003102858	1.21942016551e-09	0.01000114559	2.71586114844e-09	3.26980717804	1.99480863396e-06	3.27035722549	1.44797297825e-06	90.0	0.0	90.0	0.0
0	0.01	3.27	8750.0	0.0100004361715	8.35802815624e-10	0.0100014730226	1.59881518639e-08	3.26975808653	1.10900836264e-06	3.27046323242	6.74808480364e-06	90.0	0.0	90.0	0.0
1	0.03	3.27	3500.0	0.0300005619194	1.37553826129e-09	0.0300057290873	3.83618946522e-09	3.26936859062	3.09593819961e-07	3.27063776369	3.64017054962e-07	90.0	0.0	90.0	0.0
1	0.03	3.27	3750.0	0.0300004380128	1.31458906274e-09	0.0300091205713	4.14050732906e-09	3.26917594222	2.28365187911e-07	3.27100519464	3.70231942437e-07	90.0	0.0	90.0	0.0
1	0.03	3.27	4000.0	0.0300008300575	2.05949653418e-09	0.0300149691633	1.91050027512e-08	3.26883888088	3.17823706379e-07	3.27164459183	2.69098337845e-06	90.0	0.0	90.0	0.0
1	0.03	3.27	4250.0	0.0300026054422	4.0994107374e-09	0.0300105896101	4.03725253961e-09	3.26884189863	1.17498640215e-06	3.27119922709	2.44223996115e-07	90.0	0.0	90.0	0.0
1	0.03	3.27	4500.0	0.030003381573	1.74278696314e-09	0.0300012083798	2.4166130159e-09	3.26914813274	5.4362356943e-07	3.27020435138	3.22206901252e-07	90.0	0.0	90.0	0.0
1	0.03	3.27	4750.0	0.0300032049097	1.25959729227e-09	0.0299951664208	9.50468928289e-09	3.26946056065	4.39805485425e-07	3.26954801075	1.24034026029e-06	90.0	0.0	90.0	0.0
1	0.03	3.27	5000.0	0.0300030555966	1.1046465515e-09	0.0299915276731	1.72373703627e-08	3.2696664358	4.03270873697e-07	3.26915086711	2.08673917448e-06	90.0	0.0	90.0	0.0
1	0.03	3.27	5250.0	0.0300027968751	1.06114447109e-09	0.0299904926793	2.4597667498e-08	3.26977988971	3.18206369039e-07	3.26903246368	2.81671029113e-06	90.0	0.0	90.0	0.0
1	0.03	3.27	5500.0	0.0300023260415	8.1918742969e-10	0.0299918485064	9.84081658322e-09	3.26981878327	2.72327323387e-07	3.26917000931	1.09949965164e-06	90.0	0.0	90.0	0.0
1	0.03	3.27	5750.0	0.0300016552717	6.63415820412e-10	0.0299952390559	9.41450567631e-09	3.26978668983	2.32868582162e-07	3.26952312254	1.06088905145e-06	90.0	0.0	90.0	0.0
1	0.03	3.27	6000.0	0.0300007794158	9.70892554819e-10	0.0300007098216	1.98326621079e-09	3.26965680047	1.37767288154e-07	3.27009709952	3.21606313229e-07	90.0	0.0	90.0	0.0
1	0.03	3.27	6250.0	0.0300000070988	7.9644145472e-10	0.0300055306577	8.21140428453e-10	3.26951842095	1.13318316039e-07	3.27060358609	6.54639852167e-08	90.0	0.0	90.0	0.0
1	0.03	3.27	6500.0	0.0299993947317	1.22462305956e-09	0.0300098108349	5.21318165303e-09	3.26935371708	2.76590329415e-07	3.2710552311	5.09093272021e-07	90.0	0.0	90.0	0.0
1	0.03	3.27	6750.0	0.0299989499783	2.44411729582e-09	0.0300126706266	1.75050554675e-08	3.26924000605	5.06560887247e-07	3.27135680097	2.47635901381e-06	90.0	0.0	90.0	0.0
1	0.03	3.27	7000.0	0.0299986679388	1.28824341394e-09	0.0300144499352	1.18361355864e-08	3.26915757757	2.34345869601e-07	3.27154394578	1.75152368443e-06	90.0	0.0	90.0	0.0
1	0.03	3.27	7250.0	0.0299984518206	2.57927945975e-09	0.0300158547464	3.23598399291e-08	3.26908379991	4.95426729536e-07	3.2716927443	4.53833065138e-06	90.0	0.0	90.0	0.0
1	0.03	3.27	7500.0	0.0299983448783	2.92915741862e-09	0.0300163469854	3.99076443685e-08	3.26905334204	5.9638511177e-07	3.27174483094	4.02693794215e-06	90.0	0.0	90.0	0.0
1	0.03	3.27	7750.0	0.0299982902691	3.36076833456e-09	0.0300164360863	4.02690158033e-08	3.26904508027	6.51253174213e-07	3.27175366712	3.91277689587e-06	90.0	0.0	90.0	0.0
1	0.03	3.27	8000.0	0.0299984421802	4.12145188804e-09	0.0300155081135	3.77983024995e-08	3.26907334555	8.2832341404e-07	3.27165604444	3.63789466296e-06	90.0	0.0	90.0	0.0
1	0.03	3.27	8500.0	0.0299999655725	4.1743476209e-10	0.030005299844	3.06441752054e-09	3.26950140322	2.9918584727e-08	3.27057956108	2.75650407816e-07	90.0	0.0	90.0	0.0
1	0.03	3.27	8750.0	0.0300000307959	9.03367519722e-10	0.0300067627472	4.44361372465e-09	3.26935460064	8.14604609868e-08	3.27074164332	3.60702600269e-07	90.0	0.0	90.0	0.0
2	0.05	3.27	3500.0	0.050000371762	6.49866469704e-10	0.0500102174929	2.65442308294e-09	3.2692767504	1.88731637742e-08	3.27067869157	1.82635455721e-07	90.0	0.0	90.0	0.0
2	0.05	3.27	3750.0	0.0499998243941	1.21240467792e-09	0.0500173857804	2.84347764281e-09	3.26902178363	2.36539243419e-07	3.2711504962	1.1612953801e-07	90.0	0.0	90.0	0.0
2	0.05	3.27	4000.0	0.0500000914831	1.97114905918e-09	0.0500293833237	2.81564142717e-08	3.26860946959	8.92232961042e-08	3.27194216832	1.61917740662e-06	90.0	0.0	90.0	0.0
2	0.05	3.27	4250.0	0.0500036672835	1.18208093607e-09	0.0500177335563	2.79193937989e-09	3.26872784401	1.62623812017e-07	3.27118718674	1.22742670656e-07	90.0	0.0	90.0	0.0
2	0.05	3.27	4500.0	0.0500057297314	9.91899677794e-10	0.0499961846611	6.29414564608e-09	3.26917802943	1.19930983191e-07	3.26977770649	4.69933881311e-07	90.0	0.0	90.0	0.0
2	0.05	3.27	4750.0	0.0500058539598	9.82422078488e-10	0.0499834425413	2.09564416278e-08	3.26957037433	1.45830103222e-07	3.2689389704	1.39720285665e-06	90.0	0.0	90.0	0.0
2	0.05	3.27	5000.0	0.0500058725722	1.07417400974e-10	0.0499759850665	3.5078757895e-08	3.26982530783	4.50311357262e-08	3.2684465977	2.37171609571e-06	90.0	0.0	90.0	0.0
2	0.05	3.27	5250.0	0.0500055132752	3.25066068396e-10	0.0499744255943	4.02951543832e-08	3.26995086675	4.73562883204e-08	3.26834123011	2.64843550575e-06	90.0	0.0	90.0	0.0
2	0.05	3.27	5500.0	0.0500046140152	3.17879395073e-10	0.0499783651921	1.29279599973e-08	3.26996382418	4.7197127069e-08	3.26859642598	7.91124475257e-07	90.0	0.0	90.0	0.0
2	0.05	3.27	5750.0	0.0500031744568	6.18217684445e-10	0.0499868391733	4.97561684247e-09	3.26986946423	1.70716236292e-07	3.26914825975	1.52992838196e-07	90.0	0.0	90.0	0.0
2	0.05	3.27	6000.0	0.0500011398233	1.40378390712e-10	0.0499998061061	3.12619384246e-10	3.26963429201	4.34513765075e-08	3.26999474196	5.4962116493e-08	90.0	0.0	90.0	0.0
2	0.05	3.27	6250.0	0.0499993027963	9.55818663484e-10	0.050011042356	1.3508233212e-09	3.2693958298	1.28724438718e-07	3.27072815295	1.84048964624e-07	90.0	0.0	90.0	0.0
2	0.05	3.27	6500.0	0.0499977392238	1.84574744482e-09	0.0500207482278	2.12000646027e-08	3.26913438284	2.62569629328e-07	3.27136260117	1.76276226346e-06	90.0	0.0	90.0	0.0
2	0.05	3.27	6750.0	0.0499966046519	2.97939269476e-09	0.0500272193825	3.64527724387e-08	3.26895131798	3.48557725783e-07	3.27178499138	2.08608445227e-06	90.0	0.0	90.0	0.0
2	0.05	3.27	7000.0	0.0499958616971	3.12809071206e-09	0.0500311945264	4.24448478567e-08	3.26882233702	4.15495848621e-07	3.27204482919	2.44448009698e-06	90.0	0.0	90.0	0.0
2	0.05	3.27	7250.0	0.0499952720754	4.91380200376e-09	0.0500342504169	4.02139122683e-08	3.26870979758	6.54736933571e-07	3.2722444394	2.18509084376e-06	90.0	0.0	90.0	0.0
2	0.05	3.27	7500.0	0.049994989615	3.16870238721e-09	0.0500352911167	4.58248319543e-08	3.26866211025	3.75404792073e-07	3.27231237524	2.85402204461e-06	90.0	0.0	90.0	0.0
2	0.05	3.27	7750.0	0.0499948547318	3.42727053491e-09	0.0500354803059	4.90714875505e-08	3.26864756199	4.04063422158e-07	3.27232454748	2.81343577078e-06	90.0	0.0	90.0	0.0
2	0.05	3.27	8000.0	0.0499952044911	2.44817917112e-09	0.0500333444167	6.02499912544e-08	3.26869430161	3.0093884645e-07	3.2721854948	3.54643798957e-06	90.0	0.0	90.0	0.0
